CO,Gas,Temp,Humidity,Pressure,Oxygen,Alert,Escape_Time
0.7,495.22,29.84,74.19,1012.72,20.13,Warning: High Humidity (Respiratory Risk),60.0
0.72,511.56,29.84,74.19,1012.74,19.77,Warning: High Humidity (Respiratory Risk),60.0
0.69,517.12,29.84,74.2,1012.71,19.56,Warning: High Humidity (Respiratory Risk),60.0
0.72,517.12,29.84,74.19,1012.7,19.59,Warning: High Humidity (Respiratory Risk),60.0
0.71,513.41,29.84,74.17,1012.74,19.6,Warning: High Humidity (Respiratory Risk),60.0
0.72,537.99,29.85,74.15,1012.72,19.59,Warning: High Humidity (Respiratory Risk),60.0
0.7,530.31,29.85,74.15,1012.71,19.57,Warning: High Humidity (Respiratory Risk),60.0
0.76,534.14,29.85,74.13,1012.74,19.48,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.74,532.22,29.85,74.13,1012.72,19.37,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.74,549.71,29.85,74.13,1012.73,19.3,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.71,543.82,29.85,74.12,1012.71,19.34,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.73,537.99,29.85,74.16,1012.71,19.39,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.76,549.71,29.85,74.19,1012.73,19.37,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.76,555.66,29.86,74.21,1012.72,19.29,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.75,536.06,29.86,74.23,1012.71,19.2,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.73,543.82,29.86,74.24,1012.74,19.18,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.75,532.22,29.86,74.24,1012.72,19.44,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.77,652.45,29.87,74.25,1012.76,20.9,Warning: High Humidity (Respiratory Risk),60.0
0.72,629.65,29.87,74.26,1012.75,20.9,Warning: High Humidity (Respiratory Risk),60.0
0.75,631.9,29.88,74.25,1012.76,19.07,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.7,625.19,29.89,74.25,1012.75,19.11,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0,0,0,0,0,20.9,Warning: Low Humidity (Dry Air Discomfort),60.0
0.47,355.51,30.02,73.61,1012.76,19.05,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.46,356.78,30.02,73.61,1012.78,19.07,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.46,358.06,30.02,73.6,1012.78,19.06,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.45,360.63,30.02,73.6,1012.76,19.06,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
